           1,        Hand,           0,           0,
           1,       Sword,           5,           5,
           1,        Mace,          10,          10,
           1,    NotAdded,           0,           0,
           1,    NotAdded,           0,           0,
           1,    NotAdded,           0,           0,
           1,    NotAdded,           0,           0,
           1,    NotAdded,           0,           0,
           1,    NotAdded,           0,           0,
           1,Zombie Staff,         100,          10,
